split,baseline,mse,mae,nmse,positive_window_pct,relative_nmse_improvement_pct
eval,vanilla,2630559.2951259823,169.92488774384512,0.2092849077232636,0.0,0.0
eval,y_convex_shared,2648372.266950816,167.69082184785276,0.1994188783073645,61.5462789243277,4.714161916035016
eval,cov_y_convex_shared,2669490.5218444928,167.32899685603113,0.19568056354151145,61.092870544090054,6.5003942853543535
eval,residual_convex_shared,2668327.569384133,168.55576062865566,0.20058767422998416,59.9906191369606,4.155690722228166
eval,full_convex_shared,2691324.889487335,168.13369213497052,0.19614267448136016,60.44402751719825,6.279589572355286
eval,y_ridge_shared,2649195.750239397,167.7010716874446,0.19956105749305847,61.468105065666045,4.646226207129535
eval,cov_y_ridge_shared,2669360.511193811,167.32751036532895,0.19565964240589906,61.13195747342089,6.510390770929917
eval,residual_ridge_shared,2692629.375517711,168.85699946568843,0.20100919073970538,57.833020637898684,3.9542827400154255
eval,full_ridge_shared,2711527.852931092,168.5191965880351,0.19707444255210463,58.356785490931834,5.834374443906302
