horizon,V,C,Y_1,Y_2,Y_3,N_1,N_2,N_3
1,-2.0141048827536868e-05,-2.008597867191502e-05,-2.0565360051753024e-05,-2.0702277367721065e-05,-1.9783084717536792e-05,-2.0073591367151848e-05,-2.065110444422797e-05,-1.954110075512059e-05
2,-4.777625176830476e-06,-4.833157115394017e-06,-6.836853708794542e-06,-6.88005621185946e-06,-6.008593647161916e-06,-6.154369692415319e-06,-6.718571140414916e-06,-5.688512934566532e-06
3,-1.8821419090207533e-05,-1.889505289395574e-05,-2.1890474687160346e-05,-2.013882402727118e-05,-2.096819623305517e-05,-2.1051019524036866e-05,-2.022337602551945e-05,-2.1266990030688445e-05
4,-2.014777441820134e-06,-1.864678473898235e-06,-1.0369057379460218e-06,-2.309280056050427e-06,-2.819294165620032e-06,-1.0439612373214333e-06,-1.5662713248142262e-06,-3.504755012629856e-06
5,-1.9408143036998154e-05,-1.923964652775715e-05,-1.7620692600850255e-05,-1.930387822379944e-05,-2.0618692506231776e-05,-1.784331983754296e-05,-1.8693818551116678e-05,-2.0709031855471238e-05
6,-5.757875053077019e-06,-5.7645133003364805e-06,-7.397499398922437e-06,-7.521107031959811e-06,-9.94953255458527e-06,-6.8017084280567666e-06,-7.608632896159268e-06,-1.0346290836428287e-05
7,-5.3511062657197e-05,-5.3167944139516765e-05,-5.54080815296673e-05,-5.3743191540505215e-05,-5.657911278202458e-05,-5.403458028333937e-05,-5.468280311805612e-05,-5.598862383951139e-05
8,-4.8377436174877935e-05,-4.850136536815618e-05,-5.2981505956822405e-05,-4.7676663862752695e-05,-5.4231726338951966e-05,-5.089050665519506e-05,-4.9785726571362976e-05,-5.2632236199020866e-05
9,-6.616833388833013e-05,-6.637870831532675e-05,-7.044557000942968e-05,-6.591969817521566e-05,-7.020862466564667e-05,-6.810004250100067e-05,-6.761816428291007e-05,-6.85209241533476e-05
10,-7.845327937968691e-05,-7.824010514298373e-05,-7.712471363452066e-05,-7.53989396851686e-05,-7.658650887458398e-05,-7.503679994726712e-05,-7.711332309199495e-05,-7.422038119943959e-05
11,-4.593338949166255e-05,-4.570199434735118e-05,-4.658123905865759e-05,-4.490998895783077e-05,-4.886963279863595e-05,-4.458241583439221e-05,-4.606995278406389e-05,-4.605316837414266e-05
12,-5.3086715987838055e-05,-5.245016889903439e-05,-5.021873475222663e-05,-4.913410496860994e-05,-5.2932954843456046e-05,-5.075016113741014e-05,-5.225746338522951e-05,-5.207232772374975e-05
13,-3.442906293090842e-05,-3.339705418921352e-05,-3.052901704151275e-05,-2.8284401078042498e-05,-3.4420364861498896e-05,-3.042866147071994e-05,-3.2381897749050935e-05,-3.305594633413669e-05
14,-6.023287978007786e-05,-5.79690270892523e-05,-5.1971289419282744e-05,-4.6131669305610185e-05,-5.530177212152956e-05,-5.426242816521633e-05,-5.323573130448404e-05,-5.410488388652709e-05
15,-0.00011947777884502237,-0.00011730720005689505,-0.00011477259182890044,-0.00011007864105343691,-0.00011616363802434063,-0.00011571334592305613,-0.00011561448645657372,-0.00011558870478793607
16,-7.19440692927406e-05,-6.962289166296141e-05,-6.624596799919655e-05,-6.426358774102693e-05,-7.192529484577151e-05,-6.87736368411311e-05,-6.94326317049323e-05,-6.854091198532902e-05
17,-8.879518131111036e-05,-8.684210923952549e-05,-8.344842500805492e-05,-8.062625752922513e-05,-8.660324156872695e-05,-8.634999925193133e-05,-8.821129894877135e-05,-8.708043552636383e-05
18,-9.158661132922066e-05,-8.926796349074183e-05,-8.411701528189844e-05,-8.548116103341102e-05,-8.660641388542943e-05,-8.675940274992819e-05,-9.123176885783384e-05,-8.813545202624935e-05
19,-8.787479348621774e-05,-8.607742312743764e-05,-8.138909008177874e-05,-8.407614422266326e-05,-8.520439022765876e-05,-8.4634262325853e-05,-8.987677678228641e-05,-8.564459571560125e-05
20,-9.923648550727082e-05,-9.696953358164943e-05,-9.01294506183236e-05,-9.625055627817361e-05,-9.152111263575286e-05,-9.422754507625364e-05,-0.00010098520113634396,-9.633312164402512e-05
21,-0.0001039652187331877,-0.00010111722614431696,-9.577159398864304e-05,-9.828589540283066e-05,-9.874245079841595e-05,-9.939242073144351e-05,-0.00010572708908319969,-0.00010181446257706428
22,-9.21546219548024e-05,-8.867708890957459e-05,-8.449216891357669e-05,-8.470990780849188e-05,-8.481762791580304e-05,-8.582187921662411e-05,-9.071763686039423e-05,-8.820118257283133e-05
23,-9.68409896778472e-05,-9.282569138673856e-05,-8.474143441739663e-05,-8.768851049279942e-05,-8.906826959782685e-05,-8.847976972517272e-05,-9.306977244062001e-05,-9.153822652262808e-05
24,-0.00011629474887172451,-0.00011227842933237432,-0.00010538801980469959,-0.00010891148350394802,-0.00010878916179070058,-0.00010825054657278387,-0.00011344110174456067,-0.00011008689802218422
25,-9.399959710593146e-05,-9.005515705382877e-05,-8.384957141358831e-05,-8.762531415359393e-05,-8.476125521699116e-05,-8.624019517905307e-05,-9.060323729024504e-05,-8.716259040723874e-05
26,-0.00011338392795112732,-0.00010986997170653987,-0.00010699829964757145,-0.00010830479115936915,-0.00010573297596587344,-0.00010600488602237016,-0.00011136803208504111,-0.00010908978941067097
27,-9.945803171599353e-05,-9.617111762310726e-05,-9.64577663766791e-05,-9.706425589179638e-05,-9.580018349448353e-05,-9.449707858224859e-05,-0.00010067878265567614,-9.802388419976761e-05
28,-0.00011433218498720767,-0.00011051004652766743,-0.00011354358408933839,-0.00011137269843606333,-0.0001113969126523068,-0.00011223363734077772,-0.00011677984223220568,-0.00011414360365112306
29,-8.421605323168174e-05,-8.003108070775196e-05,-8.06303310456575e-05,-8.046254825532394e-05,-8.375891887345217e-05,-8.102820171969022e-05,-8.567531971299242e-05,-8.145106221356133e-05
