horizon,V,C,avgy
74,-0.0004469225999733747,-0.00041909977553736445,-0.00041899509179805415
75,-0.0003906013088136401,-0.0003624940259858295,-0.0003593900229975906
76,-0.00040635164332416857,-0.00037897947714798463,-0.00037857904165768683
77,-0.0003738218155562371,-0.0003467078796832853,-0.00034569553394163345
78,-0.00040800980958881675,-0.0003811155985433187,-0.0003803042167314623
79,-0.0003992526347404344,-0.0003707053271963571,-0.0003722651385706769
80,-0.00041428929049305385,-0.00038776970199218475,-0.0003928938411242129
81,-0.00041161758912103177,-0.0003859680350581863,-0.0003891228841546461
82,-0.0004656479390429222,-0.0004404766795642824,-0.000453409221964083
83,-0.00044055308955865546,-0.0004131236907171736,-0.00042114415197655903
84,-0.00044432295692751437,-0.00041734654284249017,-0.0004280481968242193
85,-0.00046535949781502807,-0.00043717717376247703,-0.00044959896494304176
86,-0.0004090882139415814,-0.0003836122098101825,-0.0004008726614131839
87,-0.00041332385660877187,-0.00038597089914539965,-0.00039822327132342836
88,-0.00039379141572295936,-0.0003655325540052252,-0.0003736265688362904
89,-0.00045732049659666195,-0.00042658477016642617,-0.00043009124103999104
90,-0.0005476514129953146,-0.0005165078470517276,-0.0005259303205960524
91,-0.0004873275379422086,-0.000455250084817462,-0.00046444294103198966
92,-0.0004517664078506009,-0.00042113679995016694,-0.00043120894159832647
93,-0.00045273400254558965,-0.0004213578538860143,-0.00043282377969348435
94,-0.0004752718853524787,-0.0004443911060023599,-0.00045037002012084446
95,-0.0005243440798355771,-0.0004915140814855711,-0.000498066750952145
96,-0.0005009806471349018,-0.0004691185229245565,-0.00047076301530623563
97,-0.0004947585136061337,-0.000458191643713758,-0.00045913571776347984
98,-0.0004889728379107126,-0.0004525882776800948,-0.0004523442188704136
99,-0.0004975624445238953,-0.000459922969670719,-0.0004569367824978724
100,-0.00043707680684900834,-0.0003997203679215626,-0.00039621855468955286
101,-0.0004809371766684559,-0.00044352529485437253,-0.0004385436563209685
102,-0.00046055418102873227,-0.00042467602471911036,-0.00042138987885053465
103,-0.00048607247814325653,-0.0004490712785917034,-0.0004439888071961402
104,-0.0004388660047862315,-0.0004007850764714642,-0.00039805407685744126
105,-0.0005047077821556739,-0.0004644636819099768,-0.00046538004862349514
106,-0.0005037111777815902,-0.00046469208851373096,-0.0004618593029166878
107,-0.0005426410132994338,-0.0005043635386709624,-0.0005063414537700217
108,-0.0005195232960012686,-0.0004804392973393459,-0.00047621104630517566
109,-0.0005152655330365548,-0.0004779649393738737,-0.00048057783114015116
110,-0.0005453161316312814,-0.0005063540003480577,-0.0005123191859711869
111,-0.0005222589788649008,-0.00048499210275892296,-0.0004929379535109755
112,-0.0005016133208709135,-0.0004633814833660627,-0.0004674553439905767
113,-0.0004913601454302095,-0.00045329331107603,-0.0004510525216643982
114,-0.0005097035698506815,-0.00047145829718941507,-0.00046714504662731787
115,-0.000567106186195034,-0.0005270251775683151,-0.0005229772797825342
116,-0.0005107855653276806,-0.00046982243480336345,-0.0004605644646858856
117,-0.000504993975407744,-0.0004652484266968462,-0.00045955769746992543
118,-0.0005163722231798315,-0.00047772080329450264,-0.00047642855136880655
119,-0.000524296901841114,-0.0004826855358957297,-0.00047466823587030774
120,-0.0005296733723345643,-0.00048600897250226547,-0.00047849868002096976
121,-0.0005655297256867018,-0.0005201376512836393,-0.0005041973049065287
122,-0.0005772101959131825,-0.0005301561894861606,-0.0005200882791322181
123,-0.0005604272922524218,-0.0005141244542650489,-0.0005033517910972604
124,-0.0005747546103580896,-0.0005284134145639587,-0.0005202922010505948
125,-0.0004993717259793907,-0.00045402860507074696,-0.0004484858708069293
126,-0.0005546011413096647,-0.0005084421806058524,-0.0005001360500109407
127,-0.0005672579455360399,-0.0005212147501951204,-0.0005117229863092363
128,-0.0005738829378739112,-0.0005273730885184884,-0.0005146105929962029
129,-0.0005556967979272738,-0.0005099981037542915,-0.0004916422544371166
130,-0.000581153496890628,-0.0005353498228507652,-0.0005260339129317907
131,-0.0005460161765190314,-0.0004984793246841239,-0.00048468388713629294
132,-0.0005927606953307576,-0.0005450366947249693,-0.0005377006231946767
133,-0.0005878601530252646,-0.0005403473598187249,-0.0005240667877651593
134,-0.000607992271599318,-0.0005619839442600716,-0.0005572063957609248
135,-0.0006125594420750127,-0.0005652890935569677,-0.0005600110061116156
136,-0.0005416747923611745,-0.0004964323673749541,-0.0004911150163871131
137,-0.0005829517667271555,-0.0005359202627312977,-0.0005263461966498076
138,-0.0005911988387749599,-0.0005437527690588083,-0.0005319690431694735
139,-0.0005973853347802599,-0.0005521558211483938,-0.0005352777871926598
140,-0.0006667039998088264,-0.0006163813777061374,-0.0005977813892967601
141,-0.0005834667239014304,-0.00053499328457395,-0.0005141561235857772
142,-0.0006017777220532752,-0.000554976463866723,-0.0005376808571293587
143,-0.0006391317457757086,-0.0005927165551285181,-0.0005755665762747035
144,-0.0006191901757504922,-0.0005737034974344541,-0.0005531620424618862
145,-0.0006673671696904464,-0.0006242106903864726,-0.0006021051183043881
146,-0.0006525996527657758,-0.0006097905737854867,-0.0005873325816551403
147,-0.0006262078831811511,-0.0005802283841278995,-0.0005626208291507182
148,-0.000619841387773813,-0.0005756733478600042,-0.0005617054028626077
149,-0.0006516640177567629,-0.0006079505777312885,-0.0005922120933021224
