horizon,V,C,Y_1,N_1
1,-2.6924552661138667e-05,-2.680947690274584e-05,-2.5442806268257573e-05,-2.587873228244428e-05
2,-8.26036240123182e-06,-8.063526923756512e-06,-3.0883500778850054e-06,-4.604593833500986e-06
3,-3.080676368673906e-05,-3.051861325135139e-05,-2.5948496799569405e-05,-2.76614339997195e-05
4,-1.6045053015298402e-07,2.6136224617373445e-07,6.1045119227970246e-06,4.993794111745505e-06
5,-1.8775641625716464e-05,-1.8060812023837602e-05,-1.1214047296202544e-05,-1.2842167552468402e-05
6,2.9275909952518735e-06,3.736858529326509e-06,1.0111215126054225e-05,8.452087282122549e-06
7,-4.9338648674570595e-05,-4.834021162451936e-05,-3.93479751871887e-05,-4.1028473097885785e-05
8,-3.786021792233079e-05,-3.705155405525348e-05,-3.201963825650338e-05,-3.225787465552842e-05
9,-5.8997960591204674e-05,-5.819794821929123e-05,-7.324146822398117e-07,-5.0558125885809e-05
10,-6.489333384361985e-05,-6.395084679389203e-05,-7.861197446699516e-07,-5.2596127627158464e-05
11,-8.171816668032369e-06,-7.198005364778301e-06,9.774893501046259e-08,1.3525989403049822e-06
12,-7.011417890009161e-06,-5.709298333060828e-06,7.327242661350663e-08,2.0206561749008585e-06
13,7.8340775649041e-06,9.276788557723094e-06,3.407644626137875e-07,1.8522444531590787e-05
14,-1.8569843055828203e-05,-1.699895141218366e-05,-4.296371206050506e-09,-4.646433518132962e-06
15,-9.49750386481725e-05,-9.300632374143105e-05,-1.1263520047408418e-06,-8.086750285027863e-05
16,-2.7536247090358982e-05,-2.6181642425991682e-05,-1.289489829024359e-07,-1.5466184259043157e-05
17,-1.8672138128693288e-05,-1.762871245341638e-05,7.569073452134628e-09,-5.7775562040486454e-06
18,-2.5290355251203848e-05,-2.4595979934972557e-05,-9.584299234843774e-08,-1.2080908846978447e-05
19,-1.7423905146225525e-05,-1.7515006673567302e-05,1.310331962444662e-07,-3.6671358636728696e-06
20,-3.163874670528733e-05,-3.1380306935956775e-05,-1.9261102202488942e-08,-1.575710612205998e-05
21,-3.123758206109337e-05,-3.0396498393094202e-05,7.3571519733003574e-09,-1.4204023686821987e-05
22,-1.779032212688899e-05,-1.580488812911532e-05,1.4940188079566801e-07,1.5209962213549827e-06
23,-2.4375725649815257e-05,-2.2024381277123793e-05,1.3091874812432696e-07,-4.032008697670358e-06
24,-4.971300940115178e-05,-4.704597510311834e-05,-2.831948179264395e-07,-2.8873194436397914e-05
