split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,11.826530502686918,1.7985507086392596,0.954082120672018,0.0
eval,context_forecast,13.05258612012738,1.9015415872743013,1.0590485056168406,-11.00181867687536
eval,aggr_y,15.370462984497015,2.199295335896823,1.6022757574541586,-67.93897744625781
eval,bayes_context_shared,11.826530502686918,1.7985507086392596,0.954082120672018,0.0
eval,bayes_context_horizon,11.868455387482186,1.801532623571773,0.9560978420791515,-0.2112733656211552
eval,oracle_context_shared,9.702320905515124,1.6680506705540397,0.8451849172118067,11.413818695555099
eval,oracle_context_horizon,7.065650583746153,1.3826802006132184,0.7158005790927804,24.974950941476763
eval,catboost_context_classifier_shared,12.098739534951667,1.8058734958509421,0.9645562392018073,-1.0978214875687788
eval,catboost_context_classifier_horizon,12.488408384093539,1.8486603969110595,0.9915961404327838,-3.9319487230661374
eval,catboost_context_regressor_shared,11.826530502686918,1.7985507086392596,0.954082120672018,0.0
eval,catboost_context_regressor_horizon,11.7991128883491,1.8032398348650298,0.9599176388022315,-0.6116368815404616
eval,bayes_aggr_y_shared,11.826530502686918,1.7985507086392596,0.954082120672018,0.0
eval,bayes_aggr_y_horizon,11.826530502686918,1.7985507086392596,0.954082120672018,0.0
eval,oracle_aggr_y_shared,10.430975488421977,1.713693194284447,0.8771404233744771,8.064473238775951
eval,oracle_aggr_y_horizon,7.047978911823191,1.3468469389408488,0.6729566108830497,29.465546381998497
eval,catboost_aggr_y_classifier_shared,14.647231179327047,2.0044637716386013,1.0506362694891265,-10.120108817163398
eval,catboost_aggr_y_classifier_horizon,12.543749856004293,1.8852281662107797,1.0395022672385916,-8.953123081942568
eval,catboost_aggr_y_regressor_shared,11.872134657803278,1.8043660925495235,0.9541733721901634,-0.009564325351899517
eval,catboost_aggr_y_regressor_horizon,12.026731219150879,1.8167875082176805,0.9765560954346263,-2.3555597862769377
