horizon,V,C,Y_1,N_1
1,-0.00482272282636926,-0.004752506524021358,-0.003956797333784556,-0.004437946414149816
2,-0.005229400765008837,-0.0050304171911256385,-0.0041780308536534085,-0.00397950115541817
3,-0.005789514325338029,-0.005609785384985272,-0.0067235750339853,-0.006229971441210616
4,-0.008860488944817857,-0.00893788503312889,-0.010446732418264621,-0.010060235216708036
5,-0.011319606646029682,-0.01158444923828835,-0.01027654832326949,-0.012678518240550642
6,-0.01168976228920646,-0.012063689992491806,-0.009066138958089399,-0.013451556443437289
7,-0.011350827680683576,-0.011693783402864588,-0.010279329468240566,-0.012675067670117899
8,-0.014960124880275386,-0.015176380920064656,-0.015197592645004962,-0.015426209736749269
9,-0.01629705069389056,-0.0163562718374128,-0.013595866140556618,-0.01418238809387017
10,-0.015127008664395711,-0.014835745776739689,-0.011745238971985754,-0.011311367324915018
11,-0.012616543750994896,-0.012203809643831635,-0.010698174556697405,-0.008913467462741033
12,-0.011701955732737393,-0.011259404290563433,-0.008039319583444534,-0.007425787364927008
13,-0.010462589787637977,-0.009987245416220314,-0.005194180024410074,-0.006131924296729411
14,-0.012606725171547565,-0.012534182506102476,-0.006526383292844951,-0.00884680328749742
15,-0.01093162284972644,-0.011052619674955334,-0.009638323516275823,-0.008332233551970172
16,-0.013402804313438644,-0.013527499857030003,-0.013135758417279902,-0.011941170594952219
17,-0.014058258585221325,-0.014608917678616858,-0.012719421836000567,-0.014743134267736642
18,-0.01432242233878789,-0.014678268892769405,-0.011597764056879338,-0.01469561685686298
19,-0.01577556074598192,-0.015803019193847266,-0.01107272153609535,-0.013540583217222608
20,-0.01638226791014891,-0.016207512492236828,-0.010373757036422595,-0.014460729457266808
21,-0.01736952163766957,-0.017104428596687933,-0.011751480488366151,-0.0164939926265439
22,-0.015743191755875845,-0.01551417434492891,-0.015221450196892753,-0.0169938168698507
23,-0.0152604817464206,-0.01514116950167104,-0.016421575259559965,-0.016398005491869774
24,-0.019006748335171346,-0.018808456148092602,-0.018544978498070883,-0.018365490710040365
