horizon,V,C,avgy
1,-0.12235622782636763,0.07355949899403556,0.02619176035881929
2,-0.21308325823963586,0.1468461494611966,0.044017902231149014
3,-0.32222123094918415,0.2215457147380289,0.07771667923317145
4,-0.24537485957297375,0.07082772863247433,0.1413144482834397
5,-0.1920574979119863,-0.052559747355567225,0.21312764339101223
6,-0.08982097799760426,-0.10095034915582299,0.15917192364665367
7,0.06089102606736743,-0.15805835787372,0.0569926220920884
8,0.022596758697949075,-0.09858317497381693,0.012782227927489098
9,0.06206659002095014,-0.11057011993779808,-0.02510413072698267
10,0.024459658541772768,-0.07844904837924851,-0.01564159005919961
11,-0.07233918443004633,0.006491242843691523,0.003006123988990429
12,-0.07491921681447761,-0.005394324695713166,0.017609398742934247
13,-0.16301921361885527,0.1359287399529239,-0.03414444570320251
14,-0.15537287944048706,0.1449649217870391,-0.059069158277203736
15,-0.12978801238971074,0.169372359306157,-0.11435451443233649
16,-0.08817653972558354,0.12032920377959351,-0.11759757762150218
17,0.23947004981920722,-0.211924925950448,-0.1065293786448978
18,0.40216858211981377,-0.38781379410667627,-0.0876342783735162
19,0.358338348738378,-0.34671104292324634,-0.08887113948771494
20,0.22327181605323387,-0.22262612371534057,-0.08150976743797064
21,-0.001415604309929176,-0.007029124232965834,-0.07844479012677101
22,-0.11973747603714768,0.14622040543111253,-0.11584483856079923
23,-0.19214765674834353,0.21789088933952183,-0.11294147246427225
24,-0.2068482936281243,0.13483861523501886,-0.017384789606399772
25,-0.24929701716259917,0.16563184061888117,0.005111339736575766
26,-0.2995551783095531,0.2096013108014494,0.022850175642254708
27,-0.37278185582954826,0.2613265364202004,0.05175006445874115
28,-0.36916974403671354,0.20075206120941175,0.12035288974594727
29,-0.241701857943541,0.011974272504756557,0.1841649675279369
30,-0.10049185355914435,-0.14712681449165363,0.2037019382795052
31,0.01429641777248735,-0.2094442914629078,0.14357405773508217
32,0.11993835064466518,-0.23952378667235538,0.05936218873610548
33,0.09639598375624828,-0.20488278402764878,0.04684472260973201
34,0.06218326190854865,-0.13232031483758966,-0.0009140438059593047
35,-0.18588356782254162,0.14157979076942534,-0.028157119951568107
36,-0.28208503670053486,0.2752899895840842,-0.06297914182219762
37,-0.2233387870943285,0.21799992549759825,-0.06973543240905773
38,-0.24387518379453257,0.24736992291646354,-0.06758203777708555
39,-0.3555901714354514,0.3671453399361194,-0.08100810642869183
40,-0.3560785763716336,0.4048836323293736,-0.14550088875638525
41,-0.22434512780606342,0.2648023719059793,-0.15013321908689575
42,-0.06469394299607141,0.0956542909030914,-0.13706158218476633
43,0.1220688000555331,-0.09367269926729861,-0.12608635941560314
44,0.14592383997688602,-0.117835261806286,-0.12253985583292026
45,-0.021714844455122232,0.0506497828313609,-0.11302660327836747
46,-0.1867778684628021,0.18422152516709908,-0.08256908935968396
47,-0.321050212184824,0.3197922527910023,-0.09248157999900865
48,-0.4974014403571256,0.5151965309083346,-0.11334757148923433
49,-0.5785265849254532,0.568449561698509,-0.06842454872151227
50,-0.583504522372024,0.6072017141203477,-0.08935900201378934
51,-0.5830366926605813,0.5772536897309963,-0.05131662161248443
52,-0.529199022956408,0.47331534034324463,0.008835509894570702
53,-0.4761759868614249,0.3442037803642215,0.09433417831389927
54,-0.2929371081403906,0.10374933842811357,0.15471298663004204
55,-0.07495527859857191,-0.14011093899549187,0.17684445730808007
56,0.013106774877067648,-0.20885642306772212,0.13387753020294532
57,0.15585581538346974,-0.2728811595015481,0.044700052336520184
58,0.15084896500012415,-0.21787398410911016,-0.01570808335352403
59,0.05386900502556471,-0.13069354233537275,-0.008260350612413545
60,-0.10995482760201987,0.025496263437748468,0.006236695911406667
61,-0.15798136432002188,0.10256998043714292,-0.010360965625089966
62,-0.12657621802985256,0.056385350609474826,0.002587920608901624
63,-0.24680018045561342,0.20268373508387563,-0.028540879527894924
64,-0.2549963393280993,0.2433194883926716,-0.06872029099512406
65,-0.18434244901270552,0.23115991224348956,-0.12868169783110464
66,-0.08755919031422402,0.12967109284992598,-0.13413250651495617
67,-0.023524964190954806,0.06253695329144326,-0.13735550657352613
68,0.07470861029031335,-0.048266390829317565,-0.11372762183466312
69,0.08816463854783597,-0.1167679973189673,-0.04746347076124281
70,-0.03640096315070491,0.007878585003822438,-0.03483275154322492
71,-0.23338025737002385,0.2131003921453589,-0.047529804404493316
72,-0.42653365967133244,0.4306146760259947,-0.10590355042037196
73,-0.5384397686709068,0.5314603928018797,-0.0971301764654642
74,-0.5165067605514677,0.4798509311935563,-0.05799971934384998
