split,baseline,mse,mae,nmse,positive_window_pct,relative_nmse_improvement_pct
eval,vanilla,803.7205302557222,12.375149571967473,0.27666939970463217,0.0,0.0
eval,cov_forecast,821.0519973404749,12.432325407455382,0.2841303435438454,43.57102751263335,-2.696700049654366
eval,avgy,1270.2117571912165,18.116272734512055,0.4493942391982504,21.8978102189781,-62.43004816507228
eval,y_mean,1270.2117571912165,18.116272734512055,0.4493942391982504,21.8978102189781,-62.43004816507228
eval,cov_ridge_shared,738.6224156740599,12.495754301441496,0.25613005019184626,72.26277372262774,7.423787934160189
eval,avgy_ridge_shared,744.906961990301,12.550929522247387,0.258100943541077,70.57832678270634,6.7114238811298135
eval,y_ridge_shared,744.906961990301,12.550929522247387,0.258100943541077,70.57832678270634,6.7114238811298135
eval,cov_y_ridge_shared,738.9025291653347,12.514256809362635,0.25626492307186427,72.65581134194272,7.375039181980874
eval,cov_avgy_ridge_shared,738.9025291653347,12.514256809362635,0.25626492307186427,72.65581134194272,7.375039181980874
eval,residual_ridge_shared,734.9130920555231,12.37010394824412,0.25447972863775303,74.22796181920269,8.020283808244958
eval,full_ridge_shared,735.6609698812158,12.414421509866752,0.2549539503141772,73.89107243121842,7.848880076234673
