horizon,V,C,Y_1,N_1
58,-0.019104597270170588,-0.026368800837644535,-0.009896043565453478,-0.025338681021626053
59,-0.023990916677426075,-0.025812564353363668,-0.009587139550188457,-0.02377534997961222
60,-0.02593297798371432,-0.02249201228528462,-0.013608878734368684,-0.015178322212787858
61,-0.02178282818462932,-0.016349118500566865,-0.011558692005393929,-0.014361089175255262
62,-0.023466677048692552,-0.018414431121264268,-0.007755573254559357,-0.01694747103487053
63,-0.02006728758926926,-0.013340718983109035,-0.013581976885698647,-0.022582057669561437
64,-0.017653552146782946,-0.012173629344630697,-0.024158297735975515,-0.021760337023392442
65,-0.012135673353918266,-0.008717326756174952,-0.043477017628857854,-0.00973765440029054
66,-0.011112080707605535,-0.01026101765126935,-0.05091498692048144,-0.01179767196903426
67,-0.008672085667269408,-0.008410679582489195,-0.05485049922462521,-0.018479915433354276
68,-0.005836628933772111,-0.0074021186476198875,-0.04526263860328979,-0.021488548522131026
69,-0.004825621643335961,-0.00748145193123827,-0.03818063542705634,-0.023928948936641554
70,-0.006969265728869822,-0.0066960893516390145,-0.026195290214604598,-0.022561437117362294
71,-0.015008982184670791,-0.008999872838348006,-0.018090932868932482,-0.02227883313299301
72,-0.028528834290150646,-0.015865013810962798,-0.03198513137013171,-0.015895998017904804
73,-0.03748653725641024,-0.019812282345995098,-0.027261928007885895,-0.010366452911601903
74,-0.04333476491275015,-0.02352788038204622,-0.01644918354584147,-0.0035152647172532626
75,-0.043933420124713504,-0.022402714349363043,-0.01153932770873871,0.006194980885901646
76,-0.039907517156856434,-0.021913858117602096,-0.005190356955084475,0.010642420340054519
77,-0.03779508860516632,-0.022590835193804962,0.014493838337195612,0.00756252963593724
78,-0.04106338655812765,-0.02788372209480333,0.033740623999708425,0.0024552030599679464
79,-0.03093285021371908,-0.026651835417254473,0.02021039118455166,-0.00863354321902861
80,-0.023472939051134636,-0.026190054852616763,0.019163303080684056,-0.02296883223496324
81,-0.027170025978653627,-0.029972855124068994,0.034214797772143944,-0.02860661590363729
82,-0.019346121707793536,-0.024419163946349524,0.011735502821795205,-0.028096729044152256
83,-0.020834642627864455,-0.02240102943246057,-0.004026531680344542,-0.02722956815203223
84,-0.020839325095254758,-0.018620489857775493,-0.014438353875687059,-0.021275913764379803
85,-0.02738196099736595,-0.01874474995610439,-0.012931211453719728,-0.011043964846462964
86,-0.022509580268037913,-0.013610337591600111,-0.014095499686581603,-0.0056691868995150324
87,-0.019979612873863222,-0.013785792970726558,-0.014361829383387915,-0.011699380352909464
88,-0.023622268201381445,-0.016976670302013715,-0.019501330248030888,-0.019028543006207543
