split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,622.5301513671875,10.702333450317383,0.23094771802425385,0.0
eval,context_forecast,626.6806640625,10.668513298034668,0.23092852532863617,0.008310407400131226
eval,aggr_y,1133.5122176864827,16.74389930969195,0.42172196958339186,-82.60495197406676
eval,y_mean,1133.51220703125,16.743900299072266,0.4217219650745392,-82.60494995117188
eval,aggr_y_mix_shared,611.7694700757527,10.699176229810977,0.22620926158465957,2.0517442129896484
eval,aggr_y_mix_horizon,613.5848869004171,10.79767407811085,0.22722985815068533,1.6098274992169734
eval,context_ridge_shared,571.4238358230946,10.858136539695058,0.21568627272444685,6.608181899508641
eval,context_ridge_horizon,2048.684016474212,19.725792753325464,0.761181176806958,-229.59025675543572
eval,aggr_y_ridge_shared,574.3407341234789,10.864502045901428,0.2166677490132783,6.183204204458038
eval,aggr_y_ridge_horizon,1640.944419090584,17.8043099494681,0.6134806969945851,-165.63618044935956
eval,y_ridge_shared,574.3407341234789,10.864502045901428,0.2166677490132783,6.183204204458038
eval,y_ridge_horizon,1640.944419090584,17.8043099494681,0.6134806969945851,-165.63618044935956
eval,cov_y_ridge_shared,572.9984141276188,10.854464212286237,0.21618599940044367,6.3918010318941185
eval,cov_horizon_ridge_shared,572.9984141276188,10.854464212286237,0.21618599940044367,6.3918010318941185
eval,cov_horizon_ridge_horizon,1961.5443858296678,19.285343806133845,0.7335613158856734,-217.6309002579691
eval,residual_ridge_shared,574.3073409265256,10.908446161759315,0.21680824229456627,6.122370833819047
eval,residual_ridge_horizon,1591.811716743142,17.59993903204184,0.5957175913939384,-157.94478355979118
eval,full_ridge_shared,573.2859504419982,10.886799477452472,0.21639603434002475,6.300856232188837
eval,full_ridge_horizon,1922.5631935267827,19.135826669562793,0.7194413728987582,-211.51698707116185
