split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,666.7036743164062,11.108663558959961,0.23278719186782837,0.0
eval,context_forecast,666.6680297851562,11.002389907836914,0.2348526269197464,-0.8872631788253784
eval,horizon_knn_weighted,1030.4223767190583,17.348633544966308,0.37858443619264043,-62.631128093848325
eval,horizon_knn_mean,926.48779296875,16.76634979248047,0.3455728590488434,-48.45011520385742
eval,residual_knn_weighted,1058.989693936946,14.792052805705637,0.38684950990508843,-66.18161282891087
eval,horizon_mix_scalar,651.0615192473107,11.049256830560763,0.22840169794726034,1.8839068788020001
eval,residual_mix_scalar,661.8692417757962,11.147968787267093,0.23210344362146715,0.2937224513406385
eval,residual_ridge_shared,660.0281027066285,11.163724331443339,0.23200607490651537,0.33554980196526507
eval,residual_ridge_horizon,733.7850341796875,12.29861831665039,0.2605215013027191,-11.914017677307129
eval,horizon_ridge_shared,635.5302509374895,11.248284744365042,0.22317778221532622,4.127980399350394
eval,full_ridge_horizon,1753.9033203125,18.815160751342773,0.5995873212814331,-157.56886291503906
eval,horizon_mix_scalar_eval_fit,649.3029302368651,11.250068390655358,0.22839737033717708,1.8857659201214714
eval,residual_mix_scalar_eval_fit,661.868128279765,11.14638903259216,0.23208575416537072,0.3013214330348159
eval,residual_ridge_shared_eval_fit,659.9937211331103,11.162701200010842,0.23199713144228545,0.3393917075951048
eval,residual_ridge_horizon_eval_fit,555.230224609375,10.171480178833008,0.19786226749420166,15.002941131591797
eval,horizon_ridge_shared_eval_fit,624.4544511900484,11.64932916716531,0.22094004563155403,5.089260341694785
eval,full_ridge_horizon_eval_fit,326.21881103515625,8.715155601501465,0.11636551469564438,50.01206588745117
