backbone,method,dataset,mse,mae,nmse,positive_window_pct
chronos-bolt,full_ridge_shared,Electricity,4176635.5750667234,193.3463969377957,0.19348863089504945,52.4859287054409
chronos-bolt,full_ridge_shared,Solar,469.09839326859867,9.866137183755283,0.16599669357963692,50.260688216892596
chronos-bolt,full_ridge_shared,Traffic,0.0006854897230302694,0.010709805466731824,0.25535626327007743,50.95099667774086
chronos-bolt,full_ridge_shared,exchange_rate,0.0006947232027557578,0.016101747892678226,0.7255384383784621,53.125
chronos-bolt,tsrag,Electricity,4233391.0,194.48574829101562,0.19265127182006836,52.02470421791077
chronos-bolt,tsrag,Solar,497.6150207519531,9.791054725646973,0.1725500524044037,42.59645342826843
chronos-bolt,tsrag,Traffic,0.0007003856007941067,0.010435948148369789,0.25928744673728943,54.07807230949402
chronos-bolt,tsrag,exchange_rate,0.000618021294940263,0.015289337374269962,0.664313793182373,55.20833134651184
chronos-bolt,vanilla,Electricity,4174447.0088385604,192.84292406558973,0.19349686310842096,0.0
chronos-bolt,vanilla,Solar,484.9827711994603,9.695242076409183,0.16914313537699752,0.0
chronos-bolt,vanilla,Traffic,0.000703242509246277,0.010435502646614912,0.2605467764609325,0.0
chronos-bolt,vanilla,exchange_rate,0.0006971010160709358,0.016170925294924626,0.7275564551837892,0.0
chronos2,full_ridge_shared,Electricity,4143608.895721877,192.08319042605132,0.19595637360113294,52.642276422764226
chronos2,full_ridge_shared,Solar,765.7486856834478,12.631027793945666,0.27217195617378337,58.28988529718457
chronos2,full_ridge_shared,Traffic,0.0006547750933240805,0.009920996114537079,0.24468525133165442,46.852159468438536
chronos2,full_ridge_shared,exchange_rate,0.0005919940223404078,0.014761716901682707,0.5879194095359456,54.166666666666664
chronos2,vanilla,Electricity,4159895.3738185912,191.3401785817494,0.19611243483682347,0.0
chronos2,vanilla,Solar,835.5567369353091,12.761242868474628,0.29312830096217996,0.0
chronos2,vanilla,Traffic,0.0006661258376518533,0.009578290897111402,0.24728376860055934,0.0
chronos2,vanilla,exchange_rate,0.0005968637046101697,0.014837145657565998,0.5923101419027391,0.0
