split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,1262.691643740042,10.19601617188178,0.8571716191742685,0.0
eval,context_forecast,1261.4881515007557,10.339680760761558,0.9442509952439998,-10.158919651774827
eval,aggr_y,2215.3412957452197,16.448874261066123,2.6995757181379805,-214.93993241849734
eval,y_mean,2215.3412957452197,16.448874261066123,2.6995757181379805,-214.93993241849734
eval,aggr_y_mix_shared,1245.7369887944633,10.216312196645736,0.8961826597186766,-4.551135346966833
eval,aggr_y_mix_horizon,1280.021607093252,10.269351288579218,0.8871303582895126,-3.4950689506150394
eval,context_ridge_shared,1251.005708281894,10.747420262967351,1.0653551088570998,-24.28725882027905
eval,context_ridge_horizon,1271.6220805469547,10.695850436903068,1.0945201159245126,-27.689728805870505
eval,aggr_y_ridge_shared,1251.7172252326206,10.672019548570068,1.0332696793183496,-20.544084312278095
eval,aggr_y_ridge_horizon,1269.9506621862008,10.655023496022507,1.0704169583446028,-24.877788111528705
eval,y_ridge_shared,1251.7172252326206,10.672019548570068,1.0332696793183496,-20.544084312278095
eval,y_ridge_horizon,1269.9506621862008,10.655023496022507,1.0704169583446028,-24.877788111528705
eval,cov_y_ridge_shared,1254.5837239405018,11.135576806302453,1.2293380561097689,-43.41796072226657
eval,cov_horizon_ridge_shared,1254.5837239405018,11.135576806302453,1.2293380561097689,-43.41796072226657
eval,cov_horizon_ridge_horizon,1282.0478605832304,10.998975274004183,1.295493744212288,-51.1358653545091
eval,residual_ridge_shared,1254.7930309148924,11.118781269756527,1.2194442673993762,-42.26372410394227
eval,residual_ridge_horizon,1282.137989048718,10.99015249652652,1.2872697896170548,-50.17643617938599
eval,full_ridge_shared,1260.8087100326518,11.559033075565019,1.4434107921959083,-68.39227523496126
eval,full_ridge_horizon,1296.5292132112631,11.311429437958306,1.5425680375665456,-79.96023235726514
