split,baseline,mse,mae,nmse,positive_window_pct,relative_nmse_improvement_pct
eval,vanilla,0.0004071573189471491,0.012052541985920269,0.6028376011436186,0.0,0.0
eval,avgy,0.0008638284628267764,0.018792529397615,1.6481938172776394,25.0,-173.4059411939332
eval,bayes_avgy_shared,0.0004071573189471491,0.012052541985920269,0.6028376011436186,0.0,0.0
eval,bayes_avgy_horizon,0.0004071573189471491,0.012052541985920269,0.6028376011436186,0.0,0.0
eval,oracle_avgy_shared,0.0003137984190653835,0.01072384305593409,0.5065676280141891,25.0,15.969470541784336
eval,oracle_avgy_horizon,0.00027728327068552816,0.009689845725208417,0.44624107281436814,73.95833333333333,25.976569482755817
eval,catboost_avgy_classifier_shared,0.0005026321546035884,0.01434670223190753,0.8365636575228743,16.666666666666668,-38.77098175957563
eval,catboost_avgy_regressor_shared,0.0003842188367280155,0.011740523027482495,0.5968200588103291,2.0833333333333335,0.9982028861295174
eval,catboost_avgy_regressor_shared_soft,0.00047655198805240186,0.013680607114616173,0.8279075832491225,36.458333333333336,-37.33509351084484
eval,catboost_avgy_regressor_horizon,0.0003960626059965849,0.011925231944688777,0.6102725403429072,4.166666666666667,-1.2333237318282892
