split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,0.0007312433303404299,0.01009763983078513,0.270436689970226,0.0
eval,context_forecast,0.0007591475681719557,0.010292839529875268,0.28087420036793026,-3.8595023474268113
eval,aggr_y,0.0013010209609905217,0.01628050824779365,0.48513831009649483,-79.39071438491078
eval,bayes_context_shared,0.0007312433303404299,0.01009763983078513,0.270436689970226,0.0
eval,bayes_context_horizon,0.0007312433303404299,0.01009763983078513,0.270436689970226,0.0
eval,oracle_context_shared,0.000692023600544533,0.009832487152070456,0.25782713044229305,4.662665975286574
eval,oracle_context_horizon,0.0006662196127728755,0.009322197128634647,0.25019625667444373,7.484351808185006
eval,catboost_context_classifier_shared,0.000732081537612848,0.010092837966567849,0.2706117247920747,-0.06472303069081849
eval,catboost_context_classifier_horizon,0.0007323559009620589,0.010074225064262421,0.27071555101522876,-0.10311509323437007
eval,catboost_context_regressor_shared,0.000729883943663216,0.010105247118380964,0.27039709723792626,0.014640296146248712
eval,catboost_context_regressor_horizon,0.0007327280984638207,0.010116130482544946,0.27034589201301434,0.03357457052949106
eval,bayes_aggr_y_shared,0.0007312433303404299,0.01009763983078513,0.270436689970226,0.0
eval,bayes_aggr_y_horizon,0.0007312433303404299,0.01009763983078513,0.270436689970226,0.0
eval,oracle_aggr_y_shared,0.0006759080419891879,0.010113234530429649,0.25069097847978317,7.301417382610612
eval,oracle_aggr_y_horizon,0.0005412611508237526,0.008143972131940843,0.2102798659194962,22.24432788958955
eval,catboost_aggr_y_classifier_shared,0.0007961851733449221,0.011105106260556193,0.28820737295917825,-6.571106528078241
eval,catboost_aggr_y_classifier_horizon,0.0007467977499758259,0.010374538238405886,0.2738182801238824,-1.2504184081045566
eval,catboost_aggr_y_regressor_shared,0.0007330614357003121,0.0101061783482771,0.274775092309925,-1.6042210619337913
eval,catboost_aggr_y_regressor_horizon,0.000732638668885004,0.01014136240500887,0.2712612209500165,-0.30488872640810627
