horizon,V,C,Y_1,N_1
1,0.0005401680835795239,0.0005505528414778546,0.0005989487358893441,0.0005658778066922606
2,0.0003515984095025313,0.00035592392329536623,0.00025114530426667824,0.0003888552858682747
3,0.0007000207807280433,0.0007003000995627292,0.0006866495177664021,0.0007247609384954376
4,0.0006106854950715005,0.0006071031278655203,0.0005941963952091055,0.0006211325843125111
5,0.0006573669442688388,0.0006619169866605348,0.0007026005747602267,0.0006368926272665781
6,0.0010959296773263552,0.0010926401886890433,0.0011867397999495285,0.0011059941047632282
7,0.0005447625454285439,0.0005478671140975512,0.0005977612766848567,0.0006101046935552404
8,0.00043898616705713607,0.00043684966546840624,0.00046407884588670924,0.0004536486121134215
9,9.92003534454939e-05,8.348886952168286e-05,0.00018969948000440866,0.00012211184620941742
10,-0.0001881263596723689,-0.000187739424654046,-0.00011640982264329072,-0.00016467430914383075
11,0.00031260240694714123,0.000322922603182339,0.0003401238646721144,0.00034591573607007053
12,0.00014725144655776387,0.00015440550731832286,0.0001992782245434903,0.00016766270948325723
13,-8.767635303798598e-05,-8.161516837207722e-05,-3.769028122161266e-05,-0.0001204299467044243
14,-4.474332860821918e-05,-5.2927271402975814e-05,-9.39400401009507e-05,-8.213694520832376e-05
15,-0.0002359328151930829,-0.0002493380403175938,-0.00028260635386865126,-0.000283894736880928
16,0.00032394513371444627,0.0003161105550740596,0.0003080668107645689,0.0003089725251169451
17,-8.876899361838215e-05,-8.539534603270706e-05,-0.00012747581559492967,-0.0001185195240896
18,-0.00011895495942652019,-0.00011973605231746483,-0.00012248396220111043,-0.00013548796764604042
19,0.00043021898868154636,0.00041678045787851164,0.0003997828239133998,0.00032707405865289
20,0.000257722540458517,0.00024132220888187266,0.00025605417520115374,0.00018375065004323077
21,0.0005053114654875028,0.0004974301762728907,0.00044210920655723095,0.0004163345571761606
22,0.000579986526233138,0.0005752013256113453,0.0004897121288635129,0.0005065109355613471
23,0.0008442500463193522,0.0008322862704106238,0.0008051439679904068,0.00077534338083157
24,0.0002821287114185967,0.00028477771679828777,0.0003947572711071541,0.00024097413199064267
