winner_name,family,retrieval,method,average_nmse,average_improvement_pct
baselines/instance_euclidean_3_online/full_ridge_shared,baselines,instance_euclidean_3_online,full_ridge_shared,0.48703989466418296,1.9505076754752109
baselines/raw_euclidean_3_online/full_ridge_shared,baselines,raw_euclidean_3_online,full_ridge_shared,0.4870189073918952,1.8747130787311415
baselines/raw_euclidean_1_online/full_ridge_shared,baselines,raw_euclidean_1_online,full_ridge_shared,0.4885323356055174,1.7890669976195381
baselines/instance_euclidean_3_online/cov_y_ridge_shared,baselines,instance_euclidean_3_online,cov_y_ridge_shared,0.4882919373779399,1.782370166270242
baselines/instance_euclidean_3_online/cov_avgy_ridge_shared,baselines,instance_euclidean_3_online,cov_avgy_ridge_shared,0.48916109040341477,1.7649726864178816
baselines/instance_euclidean_3_online/full_ridge_horizon,baselines,instance_euclidean_3_online,full_ridge_horizon,0.4867844616086499,1.5178266766094646
baselines/raw_euclidean_3_online/full_ridge_horizon,baselines,raw_euclidean_3_online,full_ridge_horizon,0.48664717321078105,1.4523203039745083
baselines/instance_euclidean_3_online/cov_avgy_ridge_horizon,baselines,instance_euclidean_3_online,cov_avgy_ridge_horizon,0.4893130803172987,1.4323445950837652
baselines/instance_euclidean_3_online/cov_y_ridge_horizon,baselines,instance_euclidean_3_online,cov_y_ridge_horizon,0.4883964336030828,1.352923853758533
baselines/raw_euclidean_1_online/full_ridge_horizon,baselines,raw_euclidean_1_online,full_ridge_horizon,0.48874849726972514,1.3318090481022593
