split,baseline,mse,mae,nmse,positive_window_pct,relative_nmse_improvement_pct
eval,vanilla,0.0004071573189471491,0.012052541985920269,0.6028376011436186,0.0,0.0
eval,cov_forecast,0.000428115098849642,0.012466985986167047,0.6937600336038768,44.791666666666664,-15.082408975115849
eval,avgy,0.0009817140267725773,0.020499886044490268,2.3375575511790583,20.833333333333332,-287.7590825032436
eval,y_mean,0.0009817140267725773,0.020499886044490268,2.3375575511790583,20.833333333333332,-287.7590825032436
eval,avgy_mix_shared,0.0004059633853022502,0.012118364084394989,0.6130352793572698,48.958333333333336,-1.6916128314334642
eval,cov_ridge_shared,0.0004060236318454498,0.012035916301184911,0.6011849385849213,60.416666666666664,0.2741472256478592
eval,avgy_ridge_shared,0.0004060694887078112,0.012036521291017266,0.601229392133078,59.375,0.26677317531118294
eval,y_ridge_shared,0.0004060694887078112,0.012036521291017266,0.601229392133078,59.375,0.26677317531118294
eval,cov_y_ridge_shared,0.0004056595534513896,0.012030906248715802,0.6006912977816461,59.375,0.35603342556948325
eval,cov_avgy_ridge_shared,0.0004056595534513896,0.012030906248715802,0.6006912977816461,59.375,0.35603342556948325
eval,residual_ridge_shared,0.0004056947730734592,0.012031400190854061,0.6007219957105995,59.375,0.3509411869806582
eval,full_ridge_shared,0.0004053508084922733,0.012026914719223725,0.6002970827739156,59.375,0.42142666032834114
