horizon,V,C,Y_1,Y_2,Y_3
1,-0.0362384870939751,0.02186147797774341,0.00834846219223967,0.011129600513647864,0.01072253011289728
2,-0.0652775778686595,0.03153664388906518,0.01619324705608113,0.020396097287841145,0.013768088092969413
3,-0.056597921857337974,0.019943130993674393,0.01567249435496264,0.02033954761677154,0.01516776818246867
4,-0.04340304031310363,0.014893501285708172,0.01600531014268549,0.017739032800491775,0.014033276121861728
5,-0.04412880201904878,0.01909170045129384,0.017059937867721718,0.011558413506785875,0.016657804026520725
6,-0.053690253565829765,0.04564327429963449,0.011709100702285,0.007391100517945127,0.012360186573436701
7,-0.07499771345594139,0.05567363794528111,0.011920233212946597,0.012281906278944456,0.0131579883797944
8,-0.08389318420589316,0.03142968506011082,0.013367737225040328,0.022211055608766718,0.02456065626745528
9,-0.07946764586747933,0.056721503147654416,0.00724014897338745,0.00922507527385504,0.0174511416771077
10,-0.05897264531222204,0.03592709265721204,0.007481592828919099,0.006526744760688285,0.017162489051344047
11,-0.046769531845121205,0.023287279190429583,0.007462836876295967,0.007789924241375625,0.013895884610390615
12,-0.07149817022426733,0.02905174016544123,0.01144156423416364,0.011774958532141866,0.022630434714830023
13,-0.08618647956801818,0.03645759367754313,0.008514313722364426,0.0156451955715242,0.022996475463890477
14,-0.07320316950280573,0.0077743829749811096,0.010241204213633908,0.01951539548967272,0.034332812818762055
15,-0.08160367424673429,0.03651921079944006,0.01563704905099893,0.010103076454390588,0.02431447646728362
16,-0.10461133648116837,0.052996098878105975,0.02548961696380428,0.013948674265649422,0.016032083285462514
17,-0.11300447880145817,0.0599954611347693,0.013742290331874346,0.01619884532433802,0.023883841226614064
18,-0.10901473775443153,0.05138173160775989,0.016458249907935922,0.021129703649957157,0.018943264454732166
19,-0.09685897401667976,0.03243106544094728,0.024546395935176674,0.01897132205520062,0.021626641976235435
20,-0.05294153360536397,-0.022123652736868855,0.013127445497896946,0.030855724870155456,0.02722771279312311
21,-0.04632449457433251,-0.03001373175039964,0.018059021057729784,0.032612663996224756,0.021249032963803042
22,-0.022015914715209434,-0.022591659392116912,0.02191457953937311,0.015668262734895022,0.015915908048313263
23,-0.058929902647858426,0.007988149913022135,0.014916580561348423,0.016170390763499014,0.02837135341675279
24,-0.0712005510303334,0.010390163277419151,0.008962893676786647,0.02406477961470728,0.028869933688552094
25,-0.04900476685566646,-0.0010832974070074763,0.013103048160973416,0.0127285916793548,0.022264145665018244
26,-0.05419621669404459,0.025724205384168763,0.007815214865058352,0.011064135054603127,0.01811542250553335
27,-0.06851488301700627,0.026962570280937258,0.0189903317078211,0.01055279465490374,0.019404101728007078
28,-0.07962993956949044,0.035105610551880044,0.011213957055871691,0.01584280515580652,0.02530515471345137
29,-0.07429549880819969,0.022509018771464905,0.018477926402070164,0.016285029453917285,0.02746520468432238
30,-0.0753291507488922,0.02193684637918771,0.019903596264917802,0.016367526019582232,0.027551386554861532
31,-0.06524618821014702,0.031317103640371664,0.020329738288612398,0.008721117323897916,0.016197677522689167
32,-0.07709372124479003,0.03449093758994923,0.016163578956780795,0.022882874905117825,0.010676528087699404
33,-0.05880091169911424,0.008171251051835377,0.01952022762989997,0.020052034893864878,0.019232952988517793
34,-0.05722021002418,0.03651459644441736,0.009432126605947581,0.013226116130305707,0.01163021271227565
35,-0.05258872538685225,0.03898753729849883,0.00730875957932693,0.008751592362670237,0.010135709374440301
36,-0.03299640437908943,0.01412912546999362,0.006529686345586636,0.008683553090036945,0.010835861370532081
37,-0.07181753342817429,0.028006851063691367,0.010192426084807468,0.014876550406764088,0.021378904157967428
38,-0.08247586534787898,0.026939931622571762,0.010782667538764206,0.016046113048129248,0.02788880353319718
39,-0.09349597554294091,0.003934361457393155,0.029997440507767818,0.023370995123637005,0.031964399842496646
40,-0.10035375710393481,0.011459342912361463,0.036401754022396364,0.014057544738943401,0.03000555207822169
41,-0.12627770392534185,0.03502167635066327,0.029660602731303665,0.024930510662174898,0.02652574879357732
42,-0.1349548702760146,0.04430547054586258,0.02032246462904485,0.023480429138402394,0.034626614822081174
43,-0.11228381805322384,0.030721643547434938,0.02231585551928753,0.022002573153317686,0.02635521699038962
44,-0.08410066420279243,-0.006966784041900365,0.027625344806511045,0.02901818113078887,0.025798059071822095
45,-0.04317743523020617,-0.04674349863266325,0.01966269595562357,0.02810609925803397,0.03479466965052358
46,-0.04921656893007374,-0.036300276017029585,0.02529492631980415,0.021915795426028603,0.030000747081267144
47,-0.053725510574838174,-0.017206695026087914,0.016943825679224044,0.02576076636656112,0.02672742073938677
48,-0.08633609076741448,0.012882120641433518,0.009023898944702133,0.029794870144630694,0.03319364576619259
