split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,1985936.0,162.71099853515625,0.16310818493366241,0.0
eval,context_forecast,2059732.0,167.34368896484375,0.1669868379831314,-2.3779635429382324
eval,horizon_knn_weighted,7659473.674050672,286.4989693080926,0.4588040902354481,-181.28820783705484
eval,horizon_knn_mean,7199570.5,280.4378662109375,0.4029199779033661,-147.02621459960938
eval,residual_knn_weighted,3282326.562771318,215.5960528222002,0.29624311190934166,-81.62369474580717
eval,horizon_mix_scalar,2002287.7693580652,162.4602706346435,0.1623991771298163,0.4346856070616396
eval,residual_mix_scalar,1985936.0195478927,162.7109972808749,0.1631081762569904,5.319581002809451e-06
eval,residual_ridge_shared,1984764.0877220684,162.78725227976625,0.1646856729692825,-0.9671421677959674
eval,residual_ridge_horizon,2350924.75,176.04762268066406,0.18629252910614014,-14.214090347290039
eval,horizon_ridge_shared,1951142.343612413,162.4479155541488,0.1649493593178176,-1.1288056359060112
eval,full_ridge_horizon,2219955.5,174.3968963623047,0.18139120936393738,-11.209139823913574
eval,horizon_mix_scalar_eval_fit,1985936.0195478927,162.7109972808749,0.1631081762569904,5.319581002809451e-06
eval,residual_mix_scalar_eval_fit,1985936.0195478927,162.7109972808749,0.1631081762569904,5.319581002809451e-06
eval,residual_ridge_shared_eval_fit,1977255.724134342,162.483121928788,0.1640525820337061,-0.5790004348511242
eval,residual_ridge_horizon_eval_fit,1753051.625,170.443115234375,0.19560971856117249,-19.92636489868164
eval,horizon_ridge_shared_eval_fit,1909155.1751803511,165.43625869751705,0.1751506204125766,-7.383096981805017
eval,full_ridge_horizon_eval_fit,1352753.125,169.3114776611328,0.21720801293849945,-33.16806411743164
