horizon,V,C,avgy
1,-0.005643461994702962,-0.005509359468594408,-0.00597732753705476
2,-0.005901374305829653,-0.005765816796291117,-0.006128846276729727
3,-0.00719235077461816,-0.0069522614131991055,-0.008692447980332758
4,-0.010974249156535368,-0.011232736783702053,-0.013739538829465513
5,-0.013343201337906634,-0.013828863701308551,-0.016699120528164628
6,-0.014293048880777533,-0.014757088411256883,-0.014626453202481286
7,-0.013917772377344715,-0.014251582639147838,-0.015380986338499327
8,-0.018630528316733612,-0.018787928093737645,-0.019857953813410902
9,-0.01926957877939802,-0.019471963439952802,-0.019306275544789794
10,-0.017482584488023905,-0.01737318665443029,-0.016285689482917073
11,-0.014689691558931873,-0.014400869310748578,-0.01360753957649125
12,-0.01349947159427407,-0.012964262953203557,-0.010487709126171746
13,-0.011512298279925032,-0.011190649593641895,-0.008211846598808187
14,-0.014017788845258125,-0.01423731185606818,-0.011031086247249586
15,-0.012622716161965421,-0.01312240012322733,-0.012611436064927936
16,-0.016108536078989447,-0.01654396476536222,-0.01673143278867356
17,-0.01766697432968062,-0.018457209728872166,-0.01650217099839382
18,-0.018292253779867457,-0.018351050785362467,-0.014821193385943681
19,-0.01982029362630838,-0.01916730437802165,-0.013099112429482068
20,-0.02125478814832656,-0.020221766838193298,-0.010676859064176467
21,-0.022529999112525585,-0.02147715734995175,-0.013152510466866387
22,-0.020990537594534356,-0.020298106074886572,-0.016523703133783506
23,-0.02053929397035456,-0.019924260053135037,-0.01717023078212412
24,-0.02463812621037833,-0.024050177467732144,-0.020136492392509826
