split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,0.0004071573494002223,0.01205254253000021,0.6028376221656799,0.0
eval,context_forecast,0.00045029944158159196,0.013107274658977985,0.7480756044387817,-24.092388153076172
eval,aggr_y,0.0007199364924386149,0.01699321328330285,1.3553830208658415,-124.83384762826513
eval,y_mean,0.0006779178511351347,0.016463790088891983,1.2787913084030151,-112.12864685058594
eval,aggr_y_mix_shared,0.0004049039008863216,0.012059976768513635,0.6129452320382226,-1.6766720425031398
eval,aggr_y_mix_horizon,0.00040495962587317456,0.012056160894706208,0.6145713746865427,-1.946420078877874
eval,context_ridge_shared,0.00040603291543186,0.012036018676309754,0.6011884191440988,0.2735733406379633
eval,context_ridge_horizon,0.00040587102626397844,0.012037759983475607,0.6008777276628378,0.32511151109005104
eval,aggr_y_ridge_shared,0.00040607040528210466,0.012036603595283909,0.6012341083659299,0.2659943143544034
eval,aggr_y_ridge_horizon,0.00040590974110091857,0.012038373597155504,0.6009240290877893,0.31743093123751825
eval,y_ridge_shared,0.00040420400499592546,0.012014966019782114,0.5990537092731228,0.6276836005960389
eval,y_ridge_horizon,0.00040385859950057304,0.012019291226443275,0.5986473819396845,0.6950860516870392
eval,cov_y_ridge_shared,0.0004040805250579119,0.012013826975018842,0.5989485458446756,0.645128336057214
eval,cov_horizon_ridge_shared,0.0004056689462422383,0.01203107370757408,0.6006983370623374,0.35486920933321325
eval,cov_horizon_ridge_horizon,0.00040545941235895405,0.012033664620229515,0.6003150412607715,0.41845114043249493
eval,residual_ridge_shared,0.0004034890463451688,0.012009450808925575,0.5985207120142789,0.7160983310717424
eval,residual_ridge_horizon,0.0004031192348108138,0.012013682777852953,0.598297429838025,0.753136858204763
eval,full_ridge_shared,0.0004034321960770107,0.012009012574843408,0.5984874446173994,0.7216167983432382
eval,full_ridge_horizon,0.0004030618685916198,0.012013139068216291,0.5982809092126103,0.7558773350441703
