split,baseline,mse,mae,nmse,positive_window_pct,relative_nmse_improvement_pct
eval,vanilla,0.005132258960434453,0.04582418560589542,8.622683072066096,0.0,0.0
eval,cov_y_ridge_shared,0.005104453939184285,0.04568562095638763,8.563973487347722,75.0,0.6808737399681108
