horizon,V,C,Y_1,Y_2,Y_3
1,0.0006741384164619043,0.0006909918951550543,0.0007699749970956441,0.000685810104450698,0.0006996314847870919
2,0.0003582698763918759,0.00037640518287630493,0.00043276639634100554,0.0005045960298292077,0.0003911084368938069
3,0.0005476306327870268,0.0005678917430698601,0.0006530113298252433,0.0007042570490251647,0.0006643920503015314
4,0.0004420476915964797,0.0004673647814089732,0.0005821874961569434,0.0006389128838599245,0.0005750989321956468
5,0.0005513391090411697,0.0005601344076394083,0.0005533492962686525,0.0005244923662491985,0.0005316037176185267
6,0.000998112879707752,0.0010009196672296301,0.0009778182254564516,0.0009667762324254742,0.0010054330825746774
7,0.00039605997162719654,0.0004150260768776694,0.00044664992977496473,0.0004514249492210479,0.0004901364860706405
8,0.0001982121118929891,0.00020935078089462408,0.00016048676126392098,0.00022138789914478033,0.00024266628325748572
9,-0.00012519777156682778,-0.00011222068832831422,-0.00017004192837250995,-9.895020987667398e-05,-6.386972243163529e-05
10,-0.0002632791323603675,-0.0002455856475618126,-0.0002535205164522258,-0.0001906070224020771,-0.00017439556523254543
11,0.00018718481067649454,0.0002016151535090825,0.0002660886651674627,0.00020426499471683828,0.00018920008346486872
12,3.91507113135386e-05,5.74515375295242e-05,6.565902733687808e-05,7.51878780899727e-05,1.4682092631176275e-05
13,-0.0002682132947886928,-0.00024749810522875704,-0.00017927752272702807,-0.0002785630213116654,-0.00017969716720928208
14,-0.0002325309885391848,-0.00020204430619994113,-8.532351889236408e-05,-0.00015293780041362065,-0.00015543004514583097
15,-0.00047195152920862887,-0.0004428880465536741,-0.00042327144051907,-0.00042900428184744526,-0.0004155673421730789
16,0.00016555047684776623,0.00018268240072626896,0.0001377426571437252,0.00020352607781545662,0.00019833814998684878
17,-1.1660330691023959e-05,-1.7458621297819497e-07,-3.580568185294514e-05,3.94142158913197e-05,1.3283887818115059e-05
18,-0.0001087163147875231,-0.0001017487438451322,-0.00010839790022749465,-6.249567104383481e-05,-1.3280394417706308e-05
19,0.00046468581637219505,0.0004624446574018234,0.0005143877479923278,0.0004986521442861137,0.0005665084647511302
20,0.00033529740015938704,0.0003307771899579677,0.0003533833377683073,0.00039983793350630584,0.0003412770137336152
21,0.0004584031949219737,0.00044915305914185806,0.00041070102763839474,0.0004167159696218271,0.0003938005319562775
22,0.0005389096708651835,0.0005275403224532866,0.00038300710443776224,0.0005274159688582042,0.00046816959233540793
23,0.0006482121748057192,0.0006491889654981209,0.0006296962005695209,0.0005678033176247762,0.0005729556694642485
24,0.00017849241073127797,0.00017552929941947026,0.00020065589411078947,8.527833666672635e-05,0.00016935693878245378
25,-0.0003490223757581302,-0.0003394175930399705,-0.0003273437816589334,-0.00024640277314343193,-0.00035248843096447995
26,0.00047676566080836867,0.000498914891063316,0.0005337957916967647,0.0005695897770200767,0.0005454221369341677
27,0.0004668258632705402,0.0004985574813818809,0.0004758619856245396,0.0005597742205832493,0.0007074698559674029
28,0.0007771000970976871,0.0008216257611804145,0.0009358285161660556,0.0008404124202740819,0.0008612775199534374
29,0.0006767770254770454,0.0007031220325856745,0.0007690363881592053,0.0006432953026944409,0.0007212695595645084
30,0.0004909370825805313,0.0005024261181029946,0.000499045466513497,0.0004169327893291189,0.0004594842844911832
31,0.0008336393950812758,0.00084032904020899,0.0007496096555309185,0.0007880132553363761,0.0008943237559601063
32,0.0003655937164721641,0.0004102379044618588,0.0003678429669641079,0.0004582373053478474,0.0005122330281987328
33,8.251963233901625e-05,0.00011597553634181046,5.4425448857720986e-05,0.00013248310752048213,0.00019978279962729704
34,-0.00014391062424904687,-0.0001091780552863489,-0.00022932502237112473,-0.00010731879025550854,-1.1723775187768965e-05
35,-0.00014629272006862171,-0.0001010131080887834,-0.00017458311987805206,-1.714689870836935e-05,-4.656273648825625e-05
36,0.0002454028378700131,0.00028629525097114973,0.00022976476306550884,0.00033191108725010753,0.0002505575963472933
37,2.3910446384311605e-06,4.455299036438176e-05,3.428305579468002e-05,4.2145163160267e-05,4.681339721001718e-05
38,-0.0002549057311147844,-0.0001879401697599178,-0.00012073350131556986,-9.174299796566402e-05,-0.00013776454092017033
39,-0.000148546212332765,-7.051729661515362e-05,-3.007974368211873e-05,0.00013789393999600203,6.419903244231827e-05
40,-0.0006285402738344651,-0.000567136303127634,-0.0005378481539827677,-0.00045555833438548285,-0.0004919827596386743
41,-0.00013101081323626656,-9.35702399547241e-05,-0.00014799699439542972,1.3426175672814654e-05,1.607212301177559e-05
42,-0.0001114484605576429,-7.369337542856375e-05,-7.798480248344408e-05,6.764612705007794e-06,7.690785931210536e-05
43,-0.00011776440537726277,-7.935747452282038e-05,2.469921725665904e-05,2.563658167326888e-06,7.477057236249777e-05
44,0.00033346907315300067,0.0003696855868461329,0.0005293387785867862,0.0004641981583850379,0.0005172152539917528
45,0.0002614503102470823,0.00028489972322143654,0.00038793921814993747,0.0002883580636792156,0.00042363165872690993
46,0.00011505792072678009,0.0001243784998005497,6.079318200962912e-05,0.00012408963736210233,0.0002097295657806997
47,6.285752166117743e-05,8.682194835551108e-05,2.2944840851199797e-05,0.00013316642786292003,0.00010536621938596024
48,0.00031015371203059293,0.00034246900709462597,0.00034789928603431335,0.00030706479225150985,0.00048017848750627346
