split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,0.000717668054399619,0.009966869194554378,0.295546672762811,0.0
eval,context_forecast,0.0007338630981459773,0.010023998408688213,0.3035048329087965,-2.692691503372891
eval,aggr_y,0.0011999375101278708,0.014901188461914084,0.4834726678877124,-63.58589435913568
eval,y_mean,0.0011999375101278708,0.014901188461914084,0.4834726678877124,-63.58589435913568
eval,aggr_y_mix_shared,0.0006972508905879976,0.009962317396818618,0.2895463030379647,2.0302613014567266
eval,aggr_y_mix_horizon,0.0006984770024300673,0.00995816181759768,0.2896991925241938,1.978530221285913
eval,context_ridge_shared,0.0007067623623034201,0.00990641367867542,0.29284730426891287,0.9133476173709066
eval,context_ridge_horizon,0.0007106157433990584,0.010070897163186585,0.295108954003288,0.14810478339381075
eval,aggr_y_ridge_shared,0.0006996274645899098,0.009935413899352593,0.2904612000030736,1.7207003930031302
eval,aggr_y_ridge_horizon,0.0007037009271721889,0.010034585289228607,0.2924362087107227,1.0524442799545894
eval,y_ridge_shared,0.0006996274645899098,0.009935413899352593,0.2904612000030736,1.7207003930031302
eval,y_ridge_horizon,0.0007037009271721889,0.010034585289228607,0.2924362087107227,1.0524442799545894
eval,cov_y_ridge_shared,0.0006979818388575855,0.009927643154721385,0.2901673733905399,1.8201184002461188
eval,cov_horizon_ridge_shared,0.0006979818388575855,0.009927643154721385,0.2901673733905399,1.8201184002461188
eval,cov_horizon_ridge_horizon,0.0007022148787386225,0.010039967284183429,0.2921096195848363,1.1629476812730346
eval,residual_ridge_shared,0.000697604585825444,0.009949315849345438,0.2901222136279654,1.835398478398346
eval,residual_ridge_horizon,0.0007013692299960029,0.010045338343085908,0.29205632931238373,1.1809787665004132
eval,full_ridge_shared,0.0006943866301121128,0.009953852409922016,0.28963350599954046,2.000755653241984
eval,full_ridge_horizon,0.0006984273785360464,0.010067440770386765,0.2915991567943347,1.3356658464716888
