split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,2630559.2951259823,169.92488774384512,0.2092849077232636,0.0
eval,context_forecast,2820060.9814625387,169.21789970549244,0.197232759634812,5.7587277647311845
eval,aggr_y,5055991.160106664,230.00805905981392,0.3011002722645081,-43.87099172131966
eval,bayes_context_shared,2630559.2951259823,169.92488774384512,0.2092849077232636,0.0
eval,bayes_context_horizon,2746008.0380333983,169.60250186194367,0.2058858695316589,1.6241200708553858
eval,oracle_context_shared,2544009.492868259,160.79815814993097,0.17932825307827574,14.313815062383478
eval,oracle_context_horizon,2465923.8038683054,151.89324351726924,0.16927661726243892,19.116662972051216
eval,catboost_context_classifier_shared,2685947.831087337,167.64727391444546,0.1965442726913275,6.087698903154068
eval,catboost_context_classifier_horizon,2731850.9184538163,167.40557671230997,0.19855005407184018,5.129301375911003
eval,catboost_context_regressor_shared,2663812.091626509,169.13688901829235,0.2019593080309162,3.500300032161909
eval,catboost_context_regressor_horizon,2717033.8396073543,169.16792446026284,0.20449622833231904,2.288115011750689
eval,bayes_aggr_y_shared,2630559.2951259823,169.92488774384512,0.2092849077232636,0.0
eval,bayes_aggr_y_horizon,2630559.2951259823,169.92488774384512,0.2092849077232636,0.0
eval,oracle_aggr_y_shared,2423248.302951736,156.99901103438242,0.17467582053058647,16.536828942505764
eval,oracle_aggr_y_horizon,2013835.090680055,127.39948723228268,0.14012644021168466,33.04512889339677
eval,catboost_aggr_y_classifier_shared,3999466.3197274976,195.98737456851998,0.24593364074665103,-17.511407498073325
eval,catboost_aggr_y_classifier_horizon,3310844.3209083583,178.29871678246974,0.21268489897911202,-1.6245754616688406
eval,catboost_aggr_y_regressor_shared,2656520.1135245264,176.1719907511376,0.22799261767844106,-8.938871970603138
eval,catboost_aggr_y_regressor_horizon,2718106.069233626,173.11204596512502,0.21642840625730386,-3.4132889044660915
