horizon,V,C,avgy
1,-2.8875614950242963e-05,-2.88240034104929e-05,-2.776324763988007e-05
2,-8.396669542214418e-06,-8.189310387052102e-06,-6.0482968021962535e-06
3,-3.292197843648798e-05,-3.2206014310047264e-05,-2.8555725389170463e-05
4,2.8714916147888114e-07,1.3652325106096374e-06,5.050762181978934e-06
5,-1.9716553585960047e-05,-1.8078457968754484e-05,-1.362262145410507e-05
6,3.531713695657024e-06,5.567873656205013e-06,1.0032789892838278e-05
7,-5.2465486888047e-05,-4.975803389523295e-05,-4.43360035405851e-05
8,-4.079130097517618e-05,-3.748248323317545e-05,-3.143252371645741e-05
9,-6.003586044477181e-05,-5.694746808400044e-05,-4.0803211910208885e-05
10,-6.575596654443574e-05,-6.191202176456658e-05,-4.5573076563933835e-05
11,-8.292191461730387e-06,-4.807758982972112e-06,3.883181328747901e-07
12,-7.138531108864811e-06,-3.4218499257888347e-06,1.2010534851370679e-06
13,8.093249678048448e-06,1.1932500638406525e-05,1.3242616324857731e-05
14,-1.8563504922642266e-05,-1.4190894160428196e-05,-7.457561523281025e-06
15,-9.634025911869723e-05,-9.062667660927061e-05,-6.878207484728101e-05
16,-2.7870716240732575e-05,-2.329313030761101e-05,-1.4662254629353551e-05
17,-1.8845587957565115e-05,-1.4564347689237803e-05,-6.854459100250938e-06
18,-2.5408634153246375e-05,-2.1763122883257062e-05,-1.35721998831636e-05
19,-1.7358030803680294e-05,-1.448552227520448e-05,-7.209970302965664e-06
20,-3.143309666698548e-05,-2.931744387123717e-05,-1.9879820766485976e-05
21,-3.102498291907102e-05,-2.7681612834969496e-05,-1.9027112309333572e-05
22,-1.7432199001058933e-05,-1.2458333359010431e-05,-5.54493022487096e-06
23,-2.414170285729877e-05,-1.8498632414816748e-05,-9.885282834232457e-06
24,-4.9741482278691216e-05,-4.4506218320621825e-05,-3.1027217320762114e-05
